login,campus,streak,points,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,completed_days,gold_stars,silver_stars,total_stars
ffons-ti,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
hakahmed,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
airodrig,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
fmorenil,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
asgalean,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
danrodri,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
gfredes-,MAL,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
lumartin,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
dgerwig-,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
imontero,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
veragarc,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
avicente,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
rafaguti,BCN,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
asaiz-lo,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
xamayuel,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
jorlopez,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
kabasolo,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
ffierro-,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
dkreise,BCN,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
jutrera-,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
rtaboada,BCN,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
frgarcia,MAL,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
xortega,UDZ,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
tatahere,BCN,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
rorozco-,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
aflorido,MAL,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
albgarci,MAD,10,455.3,2,2,2,2,2,2,2,2,2,2,10,20,0,20
jcodina-,MAD,10,444.1,2,2,2,2,2,2,2,2,2,2,10,19,1,20
joolibar,BCN,10,444.1,2,2,2,2,2,2,2,2,2,2,10,19,1,20
nrumenov,MAD,10,432.9,2,2,2,2,2,1,2,2,2,2,10,19,0,19
droura-s,MAL,9,427.1,2,2,2,2,2,2,2,2,2,2,10,18,2,20
damedina,MAD,9,427.1,2,2,2,2,2,2,2,2,2,2,10,18,2,20
angsanch,MAD,9,427.1,2,2,2,2,2,2,2,2,2,2,10,18,2,20
jsaavedr,MAL,10,425.3,2,2,2,2,2,2,2,2,2,1,10,19,0,19
natferna,MAD,1,419.2,2,2,2,2,2,2,2,2,2,2,10,18,2,20
lsulzbac,BCN,5,410.3,2,2,2,2,2,2,2,2,2,2,10,18,2,20
isojo-go,UDZ,6,401.7,2,2,2,2,2,2,2,2,2,2,10,17,3,20
dpaez,BCN,8,399.7,2,2,2,2,2,2,2,2,2,2,10,16,4,20
ribana-b,MAL,9,396.0,2,2,2,2,2,2,2,2,2,0,9,18,0,18
jgalizio,MAL,9,396.0,2,2,2,2,2,2,2,2,2,0,9,18,0,18
